lookback,skip,vol_lookback,risk_lookback,rebalance_every,cagr,ann_vol,max_drawdown,sharpe,total_pnl,trade_count,turnover,hit_rate,payoff_ratio,wf_total_windows,wf_mean_oos_sharpe,wf_pct_profitable_windows,wf_oos_return_mean,wf_oos_return_std,classification
189.0,0.0,80.0,15.0,3.0,-0.00979490470427602,0.016425290588386817,0.08922713585138464,-0.5910451573217027,-0.19071536476204265,2237,0.15317763218868446,0.34018775145283864,1.2174433492623504,5,-0.2538073494897053,20.0,0.0004139207139241208,0.020342570775957896,FRAGILE
189.0,0.0,80.0,15.0,5.0,-0.00979490470427602,0.016425290588386817,0.08922713585138464,-0.5910451573217027,-0.07291548050175294,1294,0.15317763218868446,0.3794435857805255,1.2887109268168018,5,-0.2538073494897053,20.0,0.0004139207139241208,0.020342570775957896,FRAGILE
189.0,0.0,80.0,15.0,10.0,-0.00979490470427602,0.016425290588386817,0.08922713585138464,-0.5910451573217027,-0.012073804805070155,652,0.15317763218868446,0.4371165644171779,1.2174952978757019,5,-0.2538073494897053,20.0,0.0004139207139241208,0.020342570775957896,FRAGILE
189.0,0.0,80.0,20.0,3.0,-0.008516863992998114,0.016682484383082202,0.07895437441489839,-0.5043596358556022,-0.19404325507661857,2237,0.15053394254213875,0.35091640590075995,1.1561051081886586,5,-0.1803111544365813,40.0,0.0018080168881932756,0.016350555055178,FRAGILE
189.0,0.0,80.0,20.0,5.0,-0.008516863992998114,0.016682484383082202,0.07895437441489839,-0.5043596358556022,-0.09044867586152339,1358,0.15053394254213875,0.3799705449189985,1.2321204713121334,5,-0.1803111544365813,40.0,0.0018080168881932756,0.016350555055178,FRAGILE
189.0,0.0,80.0,20.0,10.0,-0.008516863992998114,0.016682484383082202,0.07895437441489839,-0.5043596358556022,-0.023074305959174538,673,0.15053394254213875,0.43536404160475484,1.1687479164653936,5,-0.1803111544365813,40.0,0.0018080168881932756,0.016350555055178,FRAGILE
189.0,0.0,80.0,25.0,3.0,-0.009386207415516434,0.016750208400527898,0.08068879820241348,-0.5546192103445392,-0.23250424680109835,2253,0.15080874452565793,0.3386595650244119,1.1148252009336026,5,-0.2600735591479878,20.0,6.498660814995283e-05,0.01588551063194348,FRAGILE
189.0,0.0,80.0,25.0,5.0,-0.009386207415516434,0.016750208400527898,0.08068879820241348,-0.5546192103445392,-0.13920116327652607,1352,0.15080874452565793,0.3594674556213018,1.1642477324588871,5,-0.2600735591479878,20.0,6.498660814995283e-05,0.01588551063194348,FRAGILE
189.0,0.0,80.0,25.0,10.0,-0.009386207415516434,0.016750208400527898,0.08068879820241348,-0.5546192103445392,-0.047708926965133916,653,0.15080874452565793,0.40275650842266464,1.187904525340992,5,-0.2600735591479878,20.0,6.498660814995283e-05,0.01588551063194348,FRAGILE
189.0,0.0,80.0,30.0,3.0,-0.009982421160730559,0.017629471326216627,0.09485510509706718,-0.5602472876084943,-0.24747490772423936,2375,0.16123298135514605,0.3334736842105263,1.116768469012096,5,-0.15598717307912055,40.0,0.002629514520688625,0.023650116236885385,FRAGILE
