time,gross_exposure,net_exposure,n_positions,ret_gross_weighted,ret_net_weighted,turnover_weight_units,regime_on
2021-04-08,1.1550411574049926,0.22330610915947352,27,0.003996827082448216,0.003892452420928979,0.10437466151923752,1.0
2021-04-09,1.1616432614387702,0.21711005248878884,28,0.0010957726716823305,0.0009983168589008968,0.09745581278143378,1.0
2021-04-10,1.1702956681584107,0.2280376770124145,28,0.0029024966661523655,0.0028985303289715365,0.003966337180828857,1.0
2021-04-11,1.1663817400975438,0.22722415501680565,28,0.0008721165770314842,0.0008619849339655125,0.010131643065971703,1.0
2021-04-12,1.1628136284776416,0.22773370623544031,28,-0.0016022000167653433,-0.0016910785130910416,0.08887849632569829,1.0
2021-04-13,1.172275995593353,0.22530640046721578,28,0.004919695722593558,0.004762879426293153,0.15681629630040467,1.0
2021-04-14,1.164072264958656,0.21734189557557393,27,0.005039692646468144,0.004968316168484366,0.07137647798377854,1.0
2021-04-15,1.1825556238598651,0.22491533256155077,28,0.00014002842648412335,-2.303244277023571e-07,0.1402587509118257,1.0
2021-04-16,1.1791400356070323,0.2115928157581423,28,-0.003539808538224049,-0.0037076741720981398,0.16786563387409087,1.0
2021-04-17,1.196864516218048,0.21080049827960642,27,-0.002254338257209887,-0.0022636876186934965,0.009349361483609441,1.0
2021-04-18,1.1875484724367986,0.21583532467679667,27,-0.007783581674684293,-0.007803994773464925,0.020413098780631255,1.0
2021-04-19,1.1798367869285469,0.2179317560307546,28,-0.000784346406444417,-0.0008401664620706437,0.05582005562622676,1.0
2021-04-20,1.191835621254315,0.21779855097998818,28,-0.0030793017825831597,-0.0032037775900444283,0.1244758074612685,1.0
2021-04-21,1.1781024073711852,0.22965164958493747,28,-0.0013003945668393572,-0.0014043296439147962,0.1039350770754389,1.0
2021-04-22,1.1863335418793182,0.22999671294687074,29,-0.0072214328136183045,-0.007297367955681828,0.07593514206352299,1.0
2021-04-23,1.1956146890006065,0.23566892035526904,28,0.001105962471017996,0.0010235639145545592,0.08239855646343684,1.0
2021-04-24,1.1930963449209364,0.23873169913047632,29,-0.002070450149903924,-0.002084649332047127,0.014199182143202793,1.0
2021-04-25,1.1788971627777338,0.22993112530179877,29,-0.002274054651286195,-0.0023191223785846396,0.04506772729844461,1.0
2021-04-26,1.1338294354792888,0.2098156373821573,29,0.014631120160720493,0.01455686561082837,0.07425454989212377,1.0
2021-04-27,1.0980621205018621,0.20320104612036433,28,0.0010789834039230464,0.000993792731823764,0.08519067209928251,1.0
2021-04-28,1.0460150577890115,0.1884728737197589,28,0.0014911854619845074,0.0013942475626396032,0.0969378993449042,1.0
2021-04-29,1.055915696044633,0.1890234767301153,27,-0.0012740142650075799,-0.0013545187794149955,0.08050451440741568,1.0
2021-04-30,1.0594864176494165,0.18893790238353392,28,0.0055671677786462955,0.005497721779874474,0.06944599877182153,1.0
2021-05-01,1.0517953093328944,0.18541133938290594,27,0.00018049261480048708,0.00017436049276549982,0.006132122034987248,1.0
2021-05-02,1.0456818935206917,0.18522611508816944,27,-0.0013246754369327922,-0.0013557280017434203,0.031052564810628104,1.0
2021-05-03,1.0292646273830428,0.19015573147536313,27,0.000870957687506032,0.0008317658653401375,0.039191822165894584,1.0
