symbol,direction,entry_ts,exit_ts,entry_price,exit_price,holding_calendar_days,holding_trading_days,signal_strength_entry,rank_at_entry,gross_return,net_return_10bps_side,net_return_15bps_side,cost_roundtrip_bps,mfe,mae,time_to_mfe_trading_days,time_to_mae_trading_days,max_intradrawdown_from_peak,exit_reason,profitable_net,regime_off_days_during_trade,cadence_label
USDCHF,SHORT,2021-06-10,2021-06-11,0.89455,0.89773,1,1,-0.02972,8,-0.003555,-0.005555,-0.006555,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
NZDCAD,SHORT,2021-06-08,2021-06-16,0.870676,0.867946,8,7,-0.03205,8,0.003136,0.001136,0.000136,20.0,0.002979,0.0,5,0,-0.001618,rotated_out_top8,True,0,daily
AUDCAD,SHORT,2021-06-11,2021-06-16,0.936561,0.934809,5,4,-0.03339,8,0.001871,-0.000129,-0.001129,20.0,0.0,0.0,0,0,-0.000599,rotated_out_top8,False,0,daily
AUDUSD,LONG,2021-04-29,2021-06-18,0.77764,0.74788,50,43,0.02778,7,-0.03827,-0.04027,-0.04127,20.0,0.014621,-0.030528,10,43,-0.038771,rotated_out_top8,False,20,daily
NZDCHF,LONG,2021-06-16,2021-06-20,0.642347,0.640842,4,3,0.02439,8,-0.002343,-0.004343,-0.005343,20.0,0.015681,-0.015961,2,1,-0.006013,rotated_out_top8,False,0,daily
AUDCAD,SHORT,2021-06-18,2021-06-24,0.932345,0.93407,6,5,-0.02936,6,-0.001851,-0.003851,-0.004851,20.0,0.0,0.0,0,0,-0.002029,rotated_out_top8,False,3,daily
NZDCAD,SHORT,2021-06-20,2021-06-28,0.864893,0.869207,8,7,-0.02389,8,-0.004988,-0.006988,-0.007988,20.0,0.0,-0.00226,0,7,-0.007411,rotated_out_top8,False,3,daily
NZDCHF,LONG,2021-06-28,2021-06-29,0.648042,0.643511,1,1,0.01946,8,-0.006991,-0.008991,-0.009991,20.0,0.007475,-0.005361,1,1,0.0,rotated_out_top8,False,0,daily
GBPUSD,LONG,2021-06-01,2021-06-30,1.4155,1.38279,29,25,0.03656,5,-0.023108,-0.025108,-0.026108,20.0,0.006499,-0.026069,1,18,-0.026669,rotated_out_top8,False,6,daily
AUDCHF,LONG,2021-06-29,2021-07-01,0.691839,0.691143,2,2,0.01731,8,-0.001005,-0.003005,-0.004005,20.0,0.010204,-0.003206,1,2,0.0,rotated_out_top8,False,0,daily
NZDUSD,LONG,2021-04-19,2021-07-04,0.71882,0.70239,76,65,0.02789,8,-0.022857,-0.024857,-0.025857,20.0,0.017751,-0.037019,33,53,-0.050472,rotated_out_top8,False,24,daily
