symbol,direction,entry_ts,exit_ts,entry_price,exit_price,holding_calendar_days,holding_trading_days,signal_strength_entry,rank_at_entry,gross_return,net_return_10bps_side,net_return_15bps_side,cost_roundtrip_bps,mfe,mae,time_to_mfe_trading_days,time_to_mae_trading_days,max_intradrawdown_from_peak,exit_reason,profitable_net,regime_off_days_during_trade,cadence_label
NZDUSD,SHORT,2021-08-04,2021-08-24,0.70424,0.69363,20,17,-0.02236,7,0.015066,0.013066,0.012066,20.0,0.029464,0.0,16,0,-0.010522,rotated_out_top8,True,0,weekly
EURUSD,SHORT,2021-08-24,2021-08-29,1.17523,1.17978,5,4,-0.02789,7,-0.003872,-0.005872,-0.006872,20.0,0.0,0.0,0,0,-0.00371,rotated_out_top8,False,0,weekly
GBPCHF,LONG,2021-08-19,2021-09-08,1.252424,1.268973,20,17,0.04148,4,0.013214,0.011214,0.010214,20.0,0.017658,-0.008054,17,4,-0.003249,rotated_out_top8,True,0,weekly
USDCAD,SHORT,2021-08-29,2021-09-08,1.26117,1.26933,10,9,-0.03006,8,-0.00647,-0.00847,-0.00947,20.0,0.006431,0.0,7,0,-0.009547,rotated_out_top8,False,0,weekly
EURGBP,SHORT,2021-04-01,2021-09-23,0.851359,0.85561,175,150,-0.03158,8,-0.004993,-0.006993,-0.007993,20.0,0.003311,-0.023229,111,21,-0.026511,rotated_out_top8,False,3,weekly
AUDCHF,SHORT,2021-09-08,2021-09-28,0.678498,0.673018,20,17,-0.02386,8,0.008076,0.006076,0.005076,20.0,0.009132,0.0,16,0,-0.010579,rotated_out_top8,True,0,weekly
NZDUSD,SHORT,2021-09-08,2021-09-28,0.70966,0.69586,20,17,-0.03822,4,0.019446,0.017446,0.016446,20.0,0.011174,-0.001804,16,4,-0.010484,rotated_out_top8,True,0,weekly
GBPCHF,LONG,2021-09-23,2021-10-13,1.26868,1.263055,20,17,0.02632,8,-0.004433,-0.006433,-0.007433,20.0,0.005659,-0.019106,5,6,-0.011246,rotated_out_top8,False,2,weekly
AUDNZD,SHORT,2021-09-28,2021-10-13,1.040913,1.059017,15,13,-0.02423,7,-0.017392,-0.019392,-0.020392,20.0,0.0,-0.011728,0,11,-0.017471,rotated_out_top8,False,2,weekly
EURGBP,SHORT,2021-09-28,2021-10-13,0.862986,0.848435,15,13,-0.02763,5,0.016861,0.014861,0.013861,20.0,0.01426,0.0,11,0,-0.001567,rotated_out_top8,True,2,weekly
BTCUSD,LONG,2020-09-13,2021-10-18,10320.41,61943.01,400,400,0.1,1,5.001991,4.999991,4.998991,20.0,5.274382,-0.017925,214,11,-3.265249,sign_flip,True,21,weekly
BTCUSD,SHORT,2021-10-18,2021-10-23,61943.01,61233.66,5,5,-0.1,1,0.011452,0.009452,0.008452,20.0,0.0,-0.023717,0,3,-0.065678,sign_flip,True,0,weekly
AUDCHF,SHORT,2021-10-13,2021-10-28,0.682191,0.686532,15,13,-0.02675,8,-0.006363,-0.008363,-0.009363,20.0,0.0,-0.00843,0,12,-0.012721,rotated_out_top8,False,0,weekly
USDCHF,LONG,2021-10-13,2021-11-02,0.92409,0.91478,20,17,0.02746,7,-0.010075,-0.012075,-0.013075,20.0,0.007164,-0.016968,1,17,-0.016211,rotated_out_top8,False,0,weekly
GBPUSD,SHORT,2021-10-28,2021-11-02,1.3798,1.36156,5,4,-0.02562,8,0.013219,0.011219,0.010219,20.0,0.008001,0.0,3,0,0.0,rotated_out_top8,True,0,weekly
AUDCHF,SHORT,2021-11-02,2021-11-07,0.680148,0.674343,5,4,-0.02859,7,0.008535,0.006535,0.005535,20.0,0.000232,0.0,4,0,-0.000644,rotated_out_top8,True,0,weekly
CADCHF,LONG,2021-08-24,2021-11-12,0.724935,0.734065,80,69,0.02485,8,0.012595,0.010595,0.009595,20.0,0.037008,-0.011544,50,4,-0.021123,rotated_out_top8,True,2,weekly
NZDUSD,SHORT,2021-10-13,2021-11-12,0.69709,0.70413,30,26,-0.05876,3,-0.010099,-0.012099,-0.013099,20.0,0.0,-0.027127,0,17,-0.032478,rotated_out_top8,False,0,weekly
EURUSD,SHORT,2021-11-02,2021-11-12,1.15786,1.1443,10,9,-0.02518,8,0.011711,0.009711,0.008711,20.0,0.007903,0.0,9,0,-0.003325,rotated_out_top8,True,0,weekly
EURGBP,SHORT,2021-11-07,2021-11-12,0.857509,0.853147,5,5,-0.02499,8,0.005088,0.003088,0.002088,20.0,0.0,0.0,0,0,-0.002594,rotated_out_top8,True,0,weekly
USDCAD,SHORT,2021-11-12,2021-11-17,1.25482,1.26104,5,4,-0.0212,7,-0.004957,-0.006957,-0.007957,20.0,0.0,0.0,0,0,-0.004072,rotated_out_top8,False,0,weekly
AUDNZD,SHORT,2021-11-12,2021-11-17,1.041228,1.037962,5,4,-0.01842,8,0.003137,0.001137,0.000137,20.0,0.0,0.0,0,0,-0.003266,rotated_out_top8,True,0,weekly
NZDCAD,SHORT,2021-06-10,2021-11-22,0.869422,0.882434,165,141,-0.04199,4,-0.014966,-0.016966,-0.017966,20.0,0.005703,-0.036364,105,81,-0.044677,rotated_out_top8,False,2,weekly
BTCUSD,LONG,2021-10-23,2021-12-27,61233.66,50664.36,65,65,0.08065,1,-0.172606,-0.174606,-0.175606,20.0,0.126566,-0.315113,19,43,-0.349622,sign_flip,False,6,weekly
EURCHF,SHORT,2021-11-12,2021-12-27,1.054038,1.039037,45,38,-0.02544,5,0.014232,0.012232,0.011232,20.0,0.014162,0.0,20,0,-0.006024,rotated_out_top8,True,5,weekly
GBPCHF,SHORT,2021-11-17,2021-12-27,1.252397,1.232728,40,34,-0.02905,5,0.015705,0.013705,0.012705,20.0,0.028553,0.0,16,0,-0.013734,rotated_out_top8,True,5,weekly
AUDNZD,SHORT,2021-11-22,2021-12-27,1.040114,1.061764,35,30,-0.01798,8,-0.020815,-0.022815,-0.023815,20.0,0.0,-0.017393,0,30,-0.023309,rotated_out_top8,False,5,weekly
BTCUSD,SHORT,2021-12-27,2022-01-01,50664.36,47706.75,5,5,-0.1,1,0.058377,0.056377,0.055377,20.0,0.05501,0.0,4,0,-0.012609,sign_flip,True,0,weekly
AUDCAD,SHORT,2021-07-15,2022-01-06,0.934537,0.911636,175,150,-0.02156,8,0.024505,0.022505,0.021505,20.0,0.036055,0.0,123,0,-0.03086,rotated_out_top8,True,7,weekly
GBPUSD,SHORT,2021-12-27,2022-01-06,1.3441,1.35325,10,9,-0.03107,8,-0.006808,-0.008808,-0.009808,20.0,0.0,-0.006041,0,9,-0.009047,rotated_out_top8,False,0,weekly
BTCUSD,LONG,2022-01-01,2022-01-06,47706.75,43068.88,5,5,0.04839,3,-0.097216,-0.099216,-0.100216,20.0,0.004782,-0.110271,2,5,-0.090562,sign_flip,False,0,weekly
USDCHF,LONG,2022-01-06,2022-01-11,0.92142,0.92348,5,4,0.02558,8,0.002236,0.000236,-0.000764,20.0,0.006566,-0.005079,4,1,-0.003278,rotated_out_top8,True,0,weekly
CADCHF,SHORT,2022-01-11,2022-01-16,0.734284,0.72917,5,4,-0.03042,8,0.006965,0.004965,0.003965,20.0,0.001641,0.0,4,0,0.0,rotated_out_top8,True,0,weekly
BTCUSD,SHORT,2022-01-06,2022-01-26,43068.88,36811.49,20,20,-0.1,1,0.145288,0.143288,0.142288,20.0,0.152478,0.0,18,0,-0.055264,sign_flip,True,0,weekly
USDCHF,LONG,2022-01-16,2022-01-26,0.91443,0.92395,10,9,0.03471,8,0.010411,0.008411,0.007411,20.0,0.00643,-0.004057,9,6,-0.005665,rotated_out_top8,True,0,weekly
NZDCHF,SHORT,2022-01-06,2022-01-31,0.620908,0.609649,25,21,-0.03804,7,0.018133,0.016133,0.015133,20.0,0.015344,-0.001725,21,7,-0.010179,rotated_out_top8,True,0,weekly
CADCHF,SHORT,2022-01-26,2022-01-31,0.730078,0.728983,5,4,-0.03023,8,0.0015,-0.0005,-0.0015,20.0,0.0,0.0,0,0,-0.000642,rotated_out_top8,False,0,weekly
GBPUSD,SHORT,2022-01-31,2022-02-10,1.34443,1.35485,10,9,-0.02418,8,-0.00775,-0.00975,-0.01075,20.0,0.0,-0.006955,0,4,-0.011395,rotated_out_top8,False,0,weekly
NZDCHF,SHORT,2022-02-10,2022-02-15,0.617002,0.614348,5,4,-0.0333,8,0.004301,0.002301,0.001301,20.0,0.002979,0.0,3,0,-0.000121,rotated_out_top8,True,0,weekly
BTCUSD,LONG,2022-01-26,2022-02-20,36811.49,38381.35,25,25,0.1,1,0.042646,0.040646,0.039646,20.0,0.244225,-0.035381,16,2,-0.124836,rotated_out_top8,True,1,weekly
EURCHF,SHORT,2022-02-15,2022-02-20,1.050851,1.042056,5,4,-0.03255,8,0.008369,0.006369,0.005369,20.0,0.002093,0.0,4,0,0.0,rotated_out_top8,True,0,weekly
USDCAD,LONG,2021-12-27,2022-02-25,1.27874,1.26996,60,52,0.0329,7,-0.006866,-0.008866,-0.009866,20.0,0.006991,-0.026471,52,21,-0.024845,rotated_out_top8,False,0,weekly
USDCHF,LONG,2022-01-31,2022-02-25,0.92704,0.92545,25,22,0.03767,7,-0.001715,-0.003715,-0.004715,20.0,0.007788,-0.013009,1,19,-0.012081,rotated_out_top8,False,0,weekly
GBPUSD,SHORT,2022-02-20,2022-02-25,1.35909,1.3411,5,5,-0.02679,8,0.013237,0.011237,0.010237,20.0,0.003289,0.0,5,0,-0.000235,rotated_out_top8,True,0,weekly
AUDUSD,SHORT,2021-08-09,2022-04-11,0.73292,0.7414,245,210,-0.02686,7,-0.01157,-0.01357,-0.01457,20.0,0.045407,-0.028134,150,206,-0.080827,rotated_out_top8,False,14,weekly
AUDCHF,SHORT,2021-11-12,2022-04-11,0.675328,0.69057,150,128,-0.05087,2,-0.022569,-0.024569,-0.025569,20.0,0.045161,-0.033104,20,116,-0.093045,sign_flip,False,12,weekly
NZDUSD,SHORT,2021-12-27,2022-04-11,0.68146,0.68166,105,90,-0.04274,4,-0.000293,-0.002293,-0.003293,20.0,0.037141,-0.018901,30,77,-0.063408,rotated_out_top8,False,7,weekly
AUDCAD,SHORT,2022-02-20,2022-04-11,0.914731,0.937055,50,43,-0.03054,7,-0.024405,-0.026405,-0.027405,20.0,0.0,-0.023613,0,37,-0.035109,rotated_out_top8,False,7,weekly
NZDCHF,SHORT,2022-02-25,2022-04-11,0.62417,0.634925,45,38,-0.0441,5,-0.017232,-0.019232,-0.020232,20.0,0.005303,-0.034166,2,26,-0.047705,rotated_out_top8,False,7,weekly
BTCUSD,LONG,2022-02-25,2022-04-16,39225.74,40361.12,50,50,0.1,1,0.028945,0.026945,0.025945,20.0,0.229109,-0.057317,32,3,-0.20265,rotated_out_top8,True,8,weekly
EURCHF,SHORT,2022-02-25,2022-09-08,1.043084,0.969561,195,167,-0.03084,8,0.070487,0.068487,0.067487,20.0,0.076906,0.0,152,0,-0.046428,rotated_out_top8,True,31,weekly
